alphaEarly,placementHitMultiplier,adjHitBonus,mcBlendRatio,games,threads,p1_avg_shots,p2_avg_shots
0.800,1.500,0.200,0.300,1000,16,48.264,48.315
0.800,1.500,0.200,0.400,1000,16,42.138,42.029
0.800,1.500,0.200,0.500,1000,16,52.637,52.357
0.800,1.500,0.200,0.600,1000,16,45.418,45.723
0.800,1.500,0.200,0.700,1000,16,42.461,42.403
0.800,1.500,0.300,0.300,1000,16,48.132,47.993
0.800,1.500,0.300,0.400,1000,16,50.212,50.465
0.800,1.500,0.300,0.500,1000,16,49.439,49.331
0.800,1.500,0.300,0.600,1000,16,47.357,47.227
0.800,1.500,0.300,0.700,1000,16,44.685,44.526
0.800,1.500,0.400,0.300,1000,16,49.963,49.493
0.800,1.500,0.400,0.400,1000,16,45.789,45.684
0.800,1.500,0.400,0.500,1000,16,49.735,49.727
0.800,1.500,0.400,0.600,1000,16,42.217,41.585
0.800,1.500,0.400,0.700,1000,16,50.658,50.905
0.800,1.500,0.500,0.300,1000,16,45.371,45.285
0.800,1.500,0.500,0.400,1000,16,41.262,41.234
0.800,1.500,0.500,0.500,1000,16,41.280,40.915
0.800,1.500,0.500,0.600,1000,16,51.057,50.995
0.800,1.500,0.500,0.700,1000,16,48.414,48.556
0.800,1.500,0.600,0.300,1000,16,43.833,43.521
0.800,1.500,0.600,0.400,1000,16,44.581,44.676
0.800,1.500,0.600,0.500,1000,16,46.894,46.955
0.800,1.500,0.600,0.600,1000,16,50.521,50.559
0.800,1.500,0.600,0.700,1000,16,48.242,48.415
0.800,1.750,0.200,0.300,1000,16,44.080,43.832
0.800,1.750,0.200,0.400,1000,16,49.344,49.440
0.800,1.750,0.200,0.500,1000,16,46.105,46.108
0.800,1.750,0.200,0.600,1000,16,43.922,44.040
0.800,1.750,0.200,0.700,1000,16,49.073,48.862
0.800,1.750,0.300,0.300,1000,16,45.719,46.018
0.800,1.750,0.300,0.400,1000,16,48.404,48.501
0.800,1.750,0.300,0.500,1000,16,45.414,45.034
0.800,1.750,0.300,0.600,1000,16,47.739,47.847
0.800,1.750,0.300,0.700,1000,16,49.102,49.216
0.800,1.750,0.400,0.300,1000,16,49.118,49.012
0.800,1.750,0.400,0.400,1000,16,47.781,47.711
0.800,1.750,0.400,0.500,1000,16,51.597,51.616
0.800,1.750,0.400,0.600,1000,16,49.630,49.907
0.800,1.750,0.400,0.700,1000,16,49.139,49.243
0.800,1.750,0.500,0.300,1000,16,47.678,47.473
0.800,1.750,0.500,0.400,1000,16,40.838,41.195
0.800,1.750,0.500,0.500,1000,16,49.092,49.240
0.800,1.750,0.500,0.600,1000,16,48.429,48.375
0.800,1.750,0.500,0.700,1000,16,49.415,49.529
0.800,1.750,0.600,0.300,1000,16,51.720,51.626
0.800,1.750,0.600,0.400,1000,16,46.238,45.763
0.800,1.750,0.600,0.500,1000,16,46.746,46.677
0.800,1.750,0.600,0.600,1000,16,50.624,50.587
0.800,1.750,0.600,0.700,1000,16,47.581,47.707
0.800,2.000,0.200,0.300,1000,16,43.338,43.345
0.800,2.000,0.200,0.400,1000,16,43.575,43.723
0.800,2.000,0.200,0.500,1000,16,47.490,47.482
0.800,2.000,0.200,0.600,1000,16,45.311,45.315
0.800,2.000,0.200,0.700,1000,16,48.394,48.280
0.800,2.000,0.300,0.300,1000,16,50.738,50.538
0.800,2.000,0.300,0.400,1000,16,49.170,49.090
0.800,2.000,0.300,0.500,1000,16,49.903,50.217
0.800,2.000,0.300,0.600,1000,16,49.828,49.795
0.800,2.000,0.300,0.700,1000,16,47.815,47.875
0.800,2.000,0.400,0.300,1000,16,47.165,47.253
0.800,2.000,0.400,0.400,1000,16,45.837,46.054
0.800,2.000,0.400,0.500,1000,16,46.105,46.062
0.800,2.000,0.400,0.600,1000,16,46.318,46.634
0.800,2.000,0.400,0.700,1000,16,49.466,49.676
0.800,2.000,0.500,0.300,1000,16,47.313,47.076
0.800,2.000,0.500,0.400,1000,16,39.486,39.500
0.800,2.000,0.500,0.500,1000,16,44.231,44.021
0.800,2.000,0.500,0.600,1000,16,46.480,46.266
0.800,2.000,0.500,0.700,1000,16,47.547,47.593
0.800,2.000,0.600,0.300,1000,16,48.329,48.700
0.800,2.000,0.600,0.400,1000,16,45.197,45.542
0.800,2.000,0.600,0.500,1000,16,47.311,47.245
0.800,2.000,0.600,0.600,1000,16,44.078,43.974
0.800,2.000,0.600,0.700,1000,16,45.018,44.924
0.800,2.250,0.200,0.300,1000,16,44.062,44.483
0.800,2.250,0.200,0.400,1000,16,46.391,46.283
0.800,2.250,0.200,0.500,1000,16,41.361,41.302
0.800,2.250,0.200,0.600,1000,16,47.103,47.197
0.800,2.250,0.200,0.700,1000,16,48.267,48.592
0.800,2.250,0.300,0.300,1000,16,46.720,46.624
0.800,2.250,0.300,0.400,1000,16,43.563,43.685
0.800,2.250,0.300,0.500,1000,16,48.433,48.322
0.800,2.250,0.300,0.600,1000,16,45.973,45.980
0.800,2.250,0.300,0.700,1000,16,50.291,50.012
0.800,2.250,0.400,0.300,1000,16,52.106,52.377
0.800,2.250,0.400,0.400,1000,16,44.659,45.180
0.800,2.250,0.400,0.500,1000,16,46.730,46.457
0.800,2.250,0.400,0.600,1000,16,47.922,48.027
0.800,2.250,0.400,0.700,1000,16,47.076,47.127
0.800,2.250,0.500,0.300,1000,16,47.788,48.019
0.800,2.250,0.500,0.400,1000,16,54.360,54.706
0.800,2.250,0.500,0.500,1000,16,51.637,51.623
0.800,2.250,0.500,0.600,1000,16,51.293,51.703
0.800,2.250,0.500,0.700,1000,16,47.799,47.777
0.800,2.250,0.600,0.300,1000,16,44.742,44.786
0.800,2.250,0.600,0.400,1000,16,49.773,49.509
0.800,2.250,0.600,0.500,1000,16,48.914,49.238
0.800,2.250,0.600,0.600,1000,16,49.455,49.630
0.800,2.250,0.600,0.700,1000,16,53.648,53.841
0.800,2.500,0.200,0.300,1000,16,46.217,46.415
0.800,2.500,0.200,0.400,1000,16,48.806,48.898
0.800,2.500,0.200,0.500,1000,16,45.510,45.624
0.800,2.500,0.200,0.600,1000,16,49.137,49.149
0.800,2.500,0.200,0.700,1000,16,44.880,45.052
0.800,2.500,0.300,0.300,1000,16,47.066,47.077
0.800,2.500,0.300,0.400,1000,16,46.677,46.629
0.800,2.500,0.300,0.500,1000,16,46.189,46.358
0.800,2.500,0.300,0.600,1000,16,46.994,47.120
0.800,2.500,0.300,0.700,1000,16,50.606,50.916
0.800,2.500,0.400,0.300,1000,16,42.952,42.398
0.800,2.500,0.400,0.400,1000,16,49.218,49.258
0.800,2.500,0.400,0.500,1000,16,43.591,43.558
0.800,2.500,0.400,0.600,1000,16,51.418,51.362
