alphaEarly,placementHitMultiplier,adjHitBonus,mcBlendRatio,games,threads,p1_avg_shots,p2_avg_shots
0.650,1.000,0.200,0.000,200,4,50.970,50.930
0.650,1.000,0.200,0.500,200,4,50.535,50.550
0.650,1.000,0.400,0.000,200,4,51.170,51.285
0.650,1.000,0.400,0.500,200,4,50.155,50.255
0.650,1.000,0.600,0.000,200,4,52.030,51.995
0.650,1.000,0.600,0.500,200,4,52.300,52.400
0.650,1.500,0.200,0.000,200,4,49.435,49.455
0.650,1.500,0.200,0.500,200,4,49.410,49.455
0.650,1.500,0.400,0.000,200,4,50.680,50.790
0.650,1.500,0.400,0.500,200,4,49.200,49.120
0.650,1.500,0.600,0.000,200,4,50.865,50.965
0.650,1.500,0.600,0.500,200,4,52.590,52.585
0.650,2.000,0.200,0.000,200,4,49.450,49.465
0.650,2.000,0.200,0.500,200,4,50.370,50.345
0.650,2.000,0.400,0.000,200,4,52.255,52.150
0.650,2.000,0.400,0.500,200,4,49.800,49.690
0.650,2.000,0.600,0.000,200,4,51.515,51.550
0.650,2.000,0.600,0.500,200,4,51.300,51.265
0.700,1.000,0.200,0.000,200,4,50.015,49.950
0.700,1.000,0.200,0.500,200,4,49.435,49.490
0.700,1.000,0.400,0.000,200,4,49.875,50.000
0.700,1.000,0.400,0.500,200,4,50.570,50.640
0.700,1.000,0.600,0.000,200,4,51.595,51.650
0.700,1.000,0.600,0.500,200,4,50.870,50.875
0.700,1.500,0.200,0.000,200,4,49.015,48.960
0.700,1.500,0.200,0.500,200,4,50.150,50.190
0.700,1.500,0.400,0.000,200,4,51.080,51.125
0.700,1.500,0.400,0.500,200,4,51.590,51.605
0.700,1.500,0.600,0.000,200,4,52.135,52.130
0.700,1.500,0.600,0.500,200,4,50.860,50.850
0.700,2.000,0.200,0.000,200,4,50.755,50.785
0.700,2.000,0.200,0.500,200,4,50.155,50.220
0.700,2.000,0.400,0.000,200,4,52.000,51.860
0.700,2.000,0.400,0.500,200,4,51.015,51.045
0.700,2.000,0.600,0.000,200,4,50.640,50.700
0.700,2.000,0.600,0.500,200,4,50.730,50.750
0.750,1.000,0.200,0.000,200,4,50.300,50.335
0.750,1.000,0.200,0.500,200,4,50.820,50.835
0.750,1.000,0.400,0.000,200,4,50.975,50.910
0.750,1.000,0.400,0.500,200,4,50.590,50.590
0.750,1.000,0.600,0.000,200,4,50.955,50.945
0.750,1.000,0.600,0.500,200,4,51.785,51.810
0.750,1.500,0.200,0.000,200,4,50.660,50.630
0.750,1.500,0.200,0.500,200,4,51.305,51.390
0.750,1.500,0.400,0.000,200,4,51.370,51.355
0.750,1.500,0.400,0.500,200,4,49.085,49.065
0.750,1.500,0.600,0.000,200,4,51.715,51.625
0.750,1.500,0.600,0.500,200,4,50.295,50.270
0.750,2.000,0.200,0.000,200,4,51.755,51.745
0.750,2.000,0.200,0.500,200,4,49.780,49.840
0.750,2.000,0.400,0.000,200,4,49.510,49.490
0.750,2.000,0.400,0.500,200,4,51.100,51.065
0.750,2.000,0.600,0.000,200,4,51.710,51.580
0.750,2.000,0.600,0.500,200,4,50.645,50.695
0.800,1.000,0.200,0.000,200,4,50.185,50.235
0.800,1.000,0.200,0.500,200,4,49.155,49.025
0.800,1.000,0.400,0.000,200,4,50.645,50.505
0.800,1.000,0.400,0.500,200,4,51.000,50.970
0.800,1.000,0.600,0.000,200,4,51.865,51.755
0.800,1.000,0.600,0.500,200,4,50.710,50.680
0.800,1.500,0.200,0.000,200,4,49.885,49.845
0.800,1.500,0.200,0.500,200,4,50.065,49.955
0.800,1.500,0.400,0.000,200,4,49.610,49.570
0.800,1.500,0.400,0.500,200,4,49.630,49.690
0.800,1.500,0.600,0.000,200,4,51.605,51.625
0.800,1.500,0.600,0.500,200,4,50.140,50.150
0.800,2.000,0.200,0.000,200,4,49.890,49.965
0.800,2.000,0.200,0.500,200,4,46.560,46.615
0.800,2.000,0.400,0.000,200,4,51.480,51.370
0.800,2.000,0.400,0.500,200,4,51.250,51.375
0.800,2.000,0.600,0.000,200,4,50.385,50.470
0.800,2.000,0.600,0.500,200,4,50.045,50.025
0.850,1.000,0.200,0.000,200,4,50.105,50.140
0.850,1.000,0.200,0.500,200,4,50.450,50.415
0.850,1.000,0.400,0.000,200,4,50.335,50.430
0.850,1.000,0.400,0.500,200,4,50.765,50.700
0.850,1.000,0.600,0.000,200,4,49.840,49.910
0.850,1.000,0.600,0.500,200,4,50.600,50.680
0.850,1.500,0.200,0.000,200,4,50.510,50.510
0.850,1.500,0.200,0.500,200,4,49.460,49.375
0.850,1.500,0.400,0.000,200,4,50.485,50.525
0.850,1.500,0.400,0.500,200,4,50.770,50.860
0.850,1.500,0.600,0.000,200,4,50.335,50.275
0.850,1.500,0.600,0.500,200,4,51.415,51.380
0.850,2.000,0.200,0.000,200,4,49.780,49.770
0.850,2.000,0.200,0.500,200,4,49.890,49.785
0.850,2.000,0.400,0.000,200,4,51.360,51.320
0.850,2.000,0.400,0.500,200,4,49.770,49.710
0.850,2.000,0.600,0.000,200,4,51.455,51.370
0.850,2.000,0.600,0.500,200,4,50.720,50.825
